#x y density u0 u1 u2 u3
2.0008811171761858 0.0 0.0 0.0 0.0 0.0 0.0
2.002653661469901 0.0 0.0 0.0 0.0 0.0 0.0
2.0044469462828003 0.0 0.0 0.0 0.0 0.0 0.0
2.006261214299445 0.0 0.0 0.0 0.0 0.0 0.0
2.0080967110440473 0.0 0.0 0.0 0.0 0.0 0.0
2.009953684913694 0.0 0.0 0.0 0.0 0.0 0.0
2.0118323872119643 0.0 0.0 0.0 0.0 0.0 0.0
2.0137330721829363 0.0 0.0 0.0 0.0 0.0 0.0
2.015655997045595 0.0 0.0 0.0 0.0 0.0 0.0
2.0176014220286427 0.0 0.0 0.0 0.0 0.0 0.0
2.0195696104057137 0.0 0.0 0.0 0.0 0.0 0.0
2.0215608285310043 0.0 0.0 0.0 0.0 0.0 0.0
2.023575345875318 0.0 0.0 0.0 0.0 0.0 0.0
2.0256134350625317 0.0 0.0 0.0 0.0 0.0 0.0
2.0276753719064926 0.0 0.0 0.0 0.0 0.0 0.0
2.0297614354483415 0.0 0.0 0.0 0.0 0.0 0.0
2.031871907994277 0.0 0.0 0.0 0.0 0.0 0.0
2.0340070751537587 0.0 0.0 0.0 0.0 0.0 0.0
2.036167225878158 0.0 0.0 0.0 0.0 0.0 0.0
2.038352652499863 0.0 0.0 0.0 0.0 0.0 0.0
2.0405636507718423 0.0 0.0 0.0 0.0 0.0 0.0
2.0428005199076624 0.0 0.0 0.0 0.0 0.0 0.0
2.045063562621986 0.0 0.0 0.0 0.0 0.0 0.0
2.0473530851715376 0.0 0.0 0.0 0.0 0.0 0.0
2.0496693973965447 0.0 0.0 0.0 0.0 0.0 0.0
2.052012812762675 0.0 0.0 0.0 0.0 0.0 0.0
2.0543836484034514 0.0 0.0 0.0 0.0 0.0 0.0
2.0567822251631744 0.0 0.0 0.0 0.0 0.0 0.0
2.0592088676403377 0.0 0.0 0.0 0.0 0.0 0.0
2.06166390423156 0.0 0.0 0.0 0.0 0.0 0.0
2.064147667176024 0.0 0.0 0.0 0.0 0.0 0.0
2.0666604926004384 0.0 0.0 0.0 0.0 0.0 0.0
2.069202720564527 0.0 0.0 0.0 0.0 0.0 0.0
2.071774695107049 0.0 0.0 0.0 0.0 0.0 0.0
2.0743767642923556 0.0 0.0 0.0 0.0 0.0 0.0
2.0770092802574958 0.0 0.0 0.0 0.0 0.0 0.0
2.079672599259869 0.0 0.0 0.0 0.0 0.0 0.0
2.082367081725438 0.0 0.0 0.0 0.0 0.0 0.0
2.085093092297507 0.0 0.0 0.0 0.0 0.0 0.0
2.087850999886066 0.0 0.0 0.0 0.0 0.0 0.0
2.090641177717716 0.0 0.0 0.0 0.0 0.0 0.0
2.0934640033861776 0.0 0.0 0.0 0.0 0.0 0.0
2.096319858903393 0.0 0.0 0.0 0.0 0.0 0.0
2.099209130751219 0.0 0.0 0.0 0.0 0.0 0.0
2.1021322099337327 0.0 0.0 0.0 0.0 0.0 0.0
2.105089492030146 0.0 0.0 0.0 0.0 0.0 0.0
2.108081377248337 0.0 0.0 0.0 0.0 0.0 0.0
2.111108270479013 0.0 0.0 0.0 0.0 0.0 0.0
2.114170581350501 0.0 0.0 0.0 0.0 0.0 0.0
2.1172687242841848 0.0 0.0 0.0 0.0 0.0 0.0
2.120403118550587 0.0 0.0 0.0 0.0 0.0 0.0
2.123574188326111 0.0 0.0 0.0 0.0 0.0 0.0
2.126782362750441 0.0 0.0 0.0 0.0 0.0 0.0
2.1300280759846215 0.0 0.0 0.0 0.0 0.0 0.0
2.1333117672698094 0.0 0.0 0.0 0.0 0.0 0.0
2.136633880986716 0.0 0.0 0.0 0.0 0.0 0.0
2.139994866715747 0.0 0.0 0.0 0.0 0.0 0.0
2.1433951792978423 0.0 0.0 0.0 0.0 0.0 0.0
2.146835278896031 0.0 0.0 0.0 0.0 0.0 0.0
2.1503156310577034 0.0 0.0 0.0 0.0 0.0 0.0
2.1538367067776147 0.0 0.0 0.0 0.0 0.0 0.0
2.1573989825616233 0.0 0.0 0.0 0.0 0.0 0.0
2.1610029404911772 0.0 0.0 0.0 0.0 0.0 0.0
2.1646490682885537 0.0 0.0 0.0 0.0 0.0 0.0
2.1683378593828624 0.0 0.0 0.0 0.0 0.0 0.0
2.1720698129768206 0.0 0.0 0.0 0.0 0.0 0.0
2.1758454341143114 0.0 0.0 0.0 0.0 0.0 0.0
2.1796652337487292 0.0 0.0 0.0 0.0 0.0 0.0
2.183529728812128 0.0 0.0 0.0 0.0 0.0 0.0
2.1874394422851786 0.0 0.0 0.0 0.0 0.0 0.0
2.1913949032679407 0.0 0.0 0.0 0.0 0.0 0.0
2.195396647051468 0.0 0.0 0.0 0.0 0.0 0.0
2.1994452151902486 0.0 0.0 0.0 0.0 0.0 0.0
2.203541155575493 0.0 0.0 0.0 0.0 0.0 0.0
2.2076850225092794 0.0 0.0 0.0 0.0 0.0 0.0
2.2118773767795683 0.0 0.0 0.0 0.0 0.0 0.0
2.2161187857360938 0.0 0.0 0.0 0.0 0.0 0.0
2.2204098233671417 0.0 0.0 0.0 0.0 0.0 0.0
2.224751070377228 0.0 0.0 0.0 0.0 0.0 0.0
2.2291431142656846 0.0 0.0 0.0 0.0 0.0 0.0
2.2335865494061675 0.0 0.0 0.0 0.0 0.0 0.0
2.2380819771270892 0.0 0.0 0.0 0.0 0.0 0.0
2.242630005793001 0.0 0.0 0.0 0.0 0.0 0.0
2.2472312508869177 0.0 0.0 0.0 0.0 0.0 0.0
2.2518863350936167 0.0 0.0 0.0 0.0 0.0 0.0
